point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
348014:3509:254::Limbert Aws:Limbert Aws:in Limbert Aws:Лимберт:Лимберт:в Лимберте
348015:3509:254::Bonaparte Parkpoint:Bonaparte Parkpoint:in Bonaparte Parkpoint:Мыс Бонапарт:Мыс Бонапарт:на мысе Бонапарт
348016:3498:254:5:Amery:Amery:in Amery:Амери:Амери:в Амери
348017:3508:254::Brunt Aws:Brunt Aws:in Brunt Aws:Брант:Брант:в Бранте
348018:3507:254:1:Novolazarevskaja:Novolazarevskaja:in Novolazarevskaja:Новолазаревская:Новолазаревская:на ст. Новолазаревская
348019:3531:254:0:Halvfarryggen (ep11):Halvfarryggen:in Halvfarryggen (ep11):Хэлфарриджен:Хэлфарриджен:в Хэлфарриджене
348020:3509:254::Ago-2:Ago-2:in Ago-2:Аго - 2:Аго - 2:в Аго - 2
348021:3530:254:0:Troll:Troll:in Troll:Тролль:Тролль:в Тролле
348022:3493:254::Marambio:Marambio:in Marambio:Марамбио:Марамбио:в Марамбио
348023:3500:254:5:Zhongshan:Zhongshan:in Zhongshan:Чоншань:Чоншань:в Чоншане
348024:3509:254:8:Dome C II:Dome C II:in Dome C II:Купол C II:Купол C II:на ст. Купол C II
348025:3509:254:6:Nico:Nico:in Nico:Нико:Нико:в Нико
348026:3500:254::Great wall:Great wall:in Great wall:Чанчэн (Великая стена):Чанчэн:в Чанчэн (Великая стена)
348027:3509:254:11:Schwerdtfeger:Schwerdtfeger:in Schwerdtfeger:Швердтфегер:Швердтфегер:в Швердтфегере
348028:::0::::::
348029:3531:254:0:Kohnen/ep9:Kohnen:in Kohnen/ep9:Конен:Конен:в Конене
348030:3518:254:11:Baia terra nova:Baia terra nova:in Baia terra nova:Байя Терра Нова:Байя Терра Нова:в Байя Терра Нова
348031:3493:254::San-Martin:San-Martin:in San-Martin:Сан-Мартин:Сан-Мартин:в Сан-Мартине
