point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
100353:73:3:4::::Бобково:Бобково:в Бобково
100354:73:3:4::::Васильково:Васильково:в Васильково
100355:73:3:4::::Новопокровское:Новопокровское:в Новопокровском
100356:73:3:4::::Раменки:Раменки:в Раменках
100357:73:3:4::::Горки:Горки:в Горках
100358:73:3:4::::Зарудня:Зарудня:в Зарудне
100359:73:3:4::::Подосинки:Подосинки:в Подосинках
100360:58:3:4::::Новгородово (Плосковский сельсовет):Новгородово:в Новгородово
100361:73:3:4::::Тимшино:Тимшино:в Тимшино
100362:73:3:4::::Ачкасово:Ачкасово:в Ачкасово
100363:73:3:4::::Зевалово:Зевалово:в Зевалово
100364:73:3:4::::Тростники:Тростники:в Тростниках
100365:73:3:4::::Полубояриново:Полубояриново:в Полубоярино
100366:73:3:4::::Лесной:Лесной:в Лесном
100367:58:3:4::::Образцово:Образцово:в Образцово
100368:73:3:4::::Пчеловодное:Пчеловодное:в Пчеловодном
100369:73:3:4::::Злобино:Злобино:в Злобино
100370:73:3:4::::Якшино:Якшино:в Якшино
100371:73:3:4::::Лукьяново:Лукьяново:в Лукьяново
100372:58:3:4::::Печенниково:Печенниково:в Печенниково
100373:73:3:4::::Гололобово:Гололобово:в Гололобово
100374:73:3:4::::Борисовское:Борисовское:в Борисовском
100375:73:3:4::::Бортниково:Бортниково:в Бортниково
100376:73:3:4::::Алеево 1-е:Алеево 1-е:в Алеево 1
100377:73:3:4::::Бузуково:Бузуково:в Бузуково
100378:73:3:4::::Первомайский:Первомайский:в Первомайском
100379:73:3:4::::Тарбушево:Тарбушево:в Тарбушево
100380:73:3:4::::Сенницы 2-е:Сенницы 2-е:в Сенницах 2
100381:73:3:4::::Протекино:Протекино:в Протекино
100382:73:3:4::::Троицкие Борки:Троицкие Борки:в Троицких Борках
100383:73:3:4::::Найдено:Найдено:в Найдено
100384:73:3:4::::Чуркино:Чуркино:в Чуркино
100385:73:3:4::::Шильково:Шильково:в Шильково
100386:73:3:4::::Троицкие Озерки:Троицкие Озерки:в Троицких Озерках
100387:73:3:4::::Коробчеево:Коробчеево:в Коробчеево
100388:73:3:4::::Чанки:Чанки:в Чанках
100389:73:3:4::::Макаровка:Макаровка:в Макаровке
100390:73:3:4::::Патрикеево:Патрикеево:в Патрикеево
100391:9:2:5::::Шукырши:Шукырши:в Шукыршах
100392:73:3:4::::Залесье:Залесье:в Залесье
100393:73:3:4::::Большое Ивановское:Большое Ивановское:в Большом Ивановском
100394:73:3:4::::Агашкино:Агашкино:в Агашкино
100395:73:3:4::::Пестовка:Пестовка:в Пестовке
100396:58:3:4::::Семеновское:Семеновское:в Семеновском
100397:73:3:4::::Торчиха:Торчиха:в Торчихе
100398:73:3:4::::Вертково:Вертково:в Вертково
100399:73:3:4::::Кузовлево:Кузовлево:в Кузовлево
100400:73:3:4::::Чекменево:Чекменево:в Чекменево
100401:73:3:4::::Милино:Милино:в Милино
100402:73:3:4::::Мясищево:Мясищево:в Мясищево
100403:73:3:4::::Мартыновское:Мартыновское:в Мартыновском
100404:73:3:4::::Четряково:Четряково:в Четряково
100405:73:3:4::::Нефедьево:Нефедьево:в Нефедьево
100406:73:3:4::::Кишкино:Кишкино:в Кишкино
100407:73:3:4::::Васильевское:Васильевское:в Васильевском
100408:73:3:4::::Ярцево:Ярцево:в Ярцево
100409:73:3:4::::Ламоново:Ламоново:в Ламоново
100410:73:3:4::::Хомутово:Хомутово:в Хомутово
100411:73:3:4::::Голочелово:Голочелово:в Голочелово
100412:73:3:4::::Игнатьево:Игнатьево:в Игнатьево
100413:73:3:4::::Карпово:Карпово:в Карпово
100414:58:3:4::::Худынино:Худынино:в Худынино
100415:73:3:4::::Савельево:Савельево:в Савельево
100416:73:3:4::::Лаврентьево:Лаврентьево:в Лаврентьево
100417:73:3:4::::Сафроново:Сафроново:в Сафроново
100418:73:3:4::::Уварово:Уварово:в Уварово
100419:73:3:4::::Секирино:Секирино:в Секирино
100420:73:3:4::::Байдиково:Байдиково:в Байдиково
100421:73:3:4::::Ивано-Теремец:Ивано-Теремец:в Ивано-Теремце
100422:73:3:4::::Кануново:Кануново:в Кануново
100423:73:3:4::::Ловцово:Ловцово:в Ловцово
100424:58:3:4::::Чистая:Чистая:в Чистой
100425:73:3:4::::Горностаево:Горностаево:в Горностаево
100426:73:3:4::::Верзилово:Верзилово:в Верзилово
100427:58:3:4::::Чистопьяново:Чистопьяново:в Чистопьяново
100428:73:3:4::::Натальино:Натальино:в Натальино
100429:58:3:4::::Шалданово:Шалданово:в Шалданово
100430:73:3:4::::Юсупово:Юсупово:в Юсупово
100431:73:3:4::::Поддубье:Поддубье:в Поддубье
100432:73:3:4::::Старомайково:Старомайково:в Старомайково
100433:73:3:4::::Семеновское:Семеновское:в Семеновском
100434:73:3:4::::Левино:Левино:в Левино
100435:73:3:4::::Митьково:Митьково:в Митьково
100436:58:3:4::::Шипино:Шипино:в Шипино
100437:73:3:4::::Полупирогово:Полупирогово:в Полупирогово
100438:58:3:4::::Бурцево:Бурцево:в Бурцево
100439:73:3:4::::Яньшино:Яньшино:в Яньшино
100440:73:3:4::::Булгаково:Булгаково:в Булгаково
100441:73:3:4::::Беспятово:Беспятово:в Беспятово
100442:73:3:4::::Покровское:Покровское:в Покровском
100443:73:3:4::::Большое Скрябино:Большое Скрябино:в Большом Скрябино
100444:73:3:4::::Свистягино:Свистягино:в Свистягино
100445:73:3:4::::Сапроново:Сапроново:в Сапроново
100446:73:3:4::::Пруссы:Пруссы:в Пруссах
100447:73:3:4::::Куземкино:Куземкино:в Куземкино
100448:73:3:4::::Борисово:Борисово:в Борисово
100449:73:3:4::::Шкинь:Шкинь:в Шкине
100450:73:3:4::::Чиркино:Чиркино:в Чиркино
100451:73:3:4::::Ивантеево:Ивантеево:в Ивантеево
100452:73:3:4::::Орехово:Орехово:в Орехово
100453:58:3:4::::Волково (Перцевский сельсовет):Волково:в Волково
100454:73:3:4::::Алфимово:Алфимово:в Алфимово
100455:73:3:4::::Еганово:Еганово:в Еганово
100456:73:3:4::::Мякинино:Мякинино:в Мякинино
100457:73:3:4::::Шманаево:Шманаево:в Шманаево
100458:73:3:4::::Субботово:Субботово:в Субботово
100459:73:3:4::::Подмалинки:Подмалинки:в Подмалинках
100460:73:3:4::::Дубна:Дубна:в Дубне
100461:73:3:4::::Коледино:Коледино:в Коледино
100462:73:3:4::::Малое Лупаково:Малое Лупаково:в Малом Лупаково
100463:73:3:4::::Большое Лупаково:Большое Лупаково:в Большом Лупаково
100464:73:3:4::::Костомарово:Костомарово:в Костомарово
100465:73:3:4::::Васьково:Васьково:в Васьково
